5 digit NTDID,4 digit NTDID,Agency,Active,Reporter Type,UZA,UZA Name,Modes,TOS,JAN02,FEB02,MAR02,APR02,MAY02,JUN02,JUL02,AUG02,SEP02,OCT02,NOV02,DEC02,JAN03,FEB03,MAR03,APR03,MAY03,JUN03,JUL03,AUG03,SEP03,OCT03,NOV03,DEC03,JAN04,FEB04,MAR04,APR04,MAY04,JUN04,JUL04,AUG04,SEP04,OCT04,NOV04,DEC04,JAN05,FEB05,MAR05,APR05,MAY05,JUN05,JUL05,AUG05,SEP05,OCT05,NOV05,DEC05,JAN06,FEB06,MAR06,APR06,MAY06,JUN06,JUL06,AUG06,SEP06,OCT06,NOV06,DEC06,JAN07,FEB07,MAR07,APR07,MAY07,JUN07,JUL07,AUG07,SEP07,OCT07,NOV07,DEC07,JAN08,FEB08,MAR08,APR08,MAY08,JUN08,JUL08,AUG08,SEP08,OCT08,NOV08,DEC08,JAN09,FEB09,MAR09,APR09,MAY09,JUN09,JUL09,AUG09,SEP09,OCT09,NOV09,DEC09,JAN10,FEB10,MAR10,APR10,MAY10,JUN10,JUL10,AUG10,SEP10,OCT10,NOV10,DEC10,JAN11,FEB11,MAR11,APR11,MAY11,JUN11,JUL11,AUG11,SEP11,OCT11,NOV11,DEC11,JAN12,FEB12,MAR12,APR12,MAY12,JUN12,JUL12,AUG12,SEP12,OCT12,NOV12,DEC12,JAN13,FEB13,MAR13,APR13,MAY13,JUN13,JUL13,AUG13,SEP13,OCT13,NOV13,DEC13,JAN14,FEB14,MAR14,APR14,MAY14,JUN14,JUL14,AUG14,SEP14,OCT14,NOV14,DEC14,JAN15,FEB15,MAR15,APR15,MAY15,JUN15,JUL15,AUG15,SEP15,OCT15,NOV15,DEC15,JAN16,FEB16,MAR16
00001,0001,King County Department of Transportation - Metro Transit Division,Active,Full Reporter: Operating,14,"Seattle, WA",DR,PT,"135,144","127,378","136,030","142,204","144,697","131,833","137,547","136,915","132,111","150,074","127,835","114,857","137,888","126,339","140,920","144,048","142,725","135,650","143,660","136,752","136,291","152,853","127,150","131,877","132,563","136,857","156,728","151,997","147,491","150,217","146,303","145,459","142,994","147,128","121,962","127,022","143,393","139,615","157,100","152,143","164,149","159,630","156,130","167,625","156,514","160,198","150,451","147,735","150,003","141,801","163,541","152,336","163,392","162,033","162,413","176,618","165,721","168,266","143,859","136,760","149,158","147,755","164,726","163,174","181,919","172,644","176,029","185,516","162,255","179,185","159,051","150,324","95,701","94,361","97,490","102,270","101,764","96,095","101,836","96,210","95,551","108,679","91,534","94,585","94,608","88,625","97,448","98,250","94,046","94,180","97,728","95,537","95,663","103,539","90,144","92,684","93,494","91,935","106,040","103,020","98,987","99,904","97,480","99,207","97,192","104,089","89,891","95,936","97,988","91,581","108,150","101,288","102,906","100,710","94,743","101,592","96,300","99,660","93,937","88,246","81,322","93,458","99,497","95,576","101,273","92,881","93,252","97,683","88,042","100,203","91,161","85,044","94,010","88,791","95,012","97,481","99,526","89,967","94,243","93,538","86,747","98,441","85,117","80,482","89,760","80,405","87,426","91,219","88,900","83,377","84,799","82,018","80,946","90,614","76,389","76,861","79,265","75,709","81,282","79,581","77,841","77,301","76,378","74,102","71,810","77,487","68,031","70,137","69,143","72,266","78,687"
00001,0001,King County Department of Transportation - Metro Transit Division,Active,Full Reporter: Operating,14,"Seattle, WA",DT,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,404","6,316","6,534","6,692","6,422","6,321","7,062","6,855","7,276","7,671","6,805","6,369","6,240","5,782","6,601","6,987","6,778","6,805","6,193","6,662","6,409","6,116","6,324","5,733","5,989","5,674","5,818","6,234","6,998","6,144","6,068","6,220","5,969","8,232","6,975","6,415","6,970","7,567","7,418","7,447","7,822","6,807","7,153","6,575","7,649","7,276","7,154","6,545","7,129","6,345","6,420","7,786","7,730","7,482","8,157","8,120","9,678","9,912","8,735","8,750","8,265","7,753","8,287","8,785","9,035","8,342","8,988","7,988","8,988","10,284","10,703","11,999","10,000","8,253","10,049"
00001,0001,King County Department of Transportation - Metro Transit Division,Active,Full Reporter: Operating,14,"Seattle, WA",LR,DO,"12,990","17,240","21,498","22,687","31,981","44,346","64,552","61,922","32,321","20,384","13,964","14,050","16,350","17,793","21,133","24,064","32,910","47,554","70,188","73,932","40,997","23,825","18,405","16,439","16,333","20,096","23,230","27,988","33,379","44,854","62,999","66,065","41,974","24,849","19,196","17,146","16,304","19,660","23,613","26,523","33,507","45,838","64,571","65,722","40,915","23,291","14,383",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,"26,877","26,471","28,368","28,666","34,360","39,496","50,467","44,448","39,113","35,061","29,354","31,256","31,286","30,126","32,198","34,589","37,271","42,174","50,954","45,329","39,679","36,582","32,736","38,280","32,333","32,068","37,579","37,945","40,646","45,814","56,703","53,783","49,409","45,931","41,713","47,008","43,829","41,557","52,376","54,493","60,001","69,350","75,852","79,464","61,848","59,764","55,182","60,745",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,0001,King County Department of Transportation - Metro Transit Division,Active,Full Reporter: Operating,14,"Seattle, WA",MB,DO,"6,045,861","5,406,135","5,999,230","6,058,398","6,134,503","5,654,916","5,946,469","5,999,146","5,571,149","6,024,277","5,498,884","5,693,491","5,998,896","5,423,887","6,018,871","6,076,454","6,018,871","5,766,180","5,946,970","5,828,996","5,715,720","6,088,824","5,400,923","5,926,597","6,093,909","5,751,219","6,567,769","6,319,709","6,127,029","6,155,486","6,099,154","6,202,824","5,966,222","6,293,987","5,605,563","6,107,568","5,896,330","5,476,222","6,410,896","6,055,762","6,116,028","5,991,094","5,814,124","6,366,292","6,183,790","6,560,273","6,354,789","5,905,728","6,421,670","5,925,927","6,763,587","6,486,482","7,093,231","6,848,317","6,693,758","6,994,407","6,685,764","7,400,289","6,704,747","6,229,763","6,967,115","6,484,827","7,181,006","7,248,546","7,624,266","7,213,238","7,267,431","7,524,861","6,854,654","8,031,056","7,304,973","6,539,383","7,487,026","7,136,195","7,585,852","7,969,203","8,018,889","7,913,943","8,347,451","7,802,411","8,014,541","8,744,520","7,304,647","6,700,932","7,887,269","7,008,525","7,867,102","7,923,102","7,773,626","7,713,617","7,784,848","7,369,565","7,332,260","7,956,736","7,085,528","6,912,882","7,386,466","6,803,766","7,644,319","7,375,979","7,303,003","7,351,755","7,262,000","7,199,827","7,137,221","7,905,101","7,098,141","7,003,188","7,487,139","6,936,238","7,829,315","7,721,856","7,924,215","7,701,206","7,331,312","7,739,253","7,382,058","8,046,589","7,472,910","7,015,202","7,225,999","7,653,303","8,019,442","7,981,372","8,406,940","7,996,541","7,967,390","8,119,968","7,702,374","8,702,116","7,818,766","7,058,209","8,120,141","7,526,483","8,205,177","8,498,612","8,733,153","7,991,423","8,254,012","8,125,544","7,850,652","8,968,389","7,954,362","7,474,570","8,311,232","7,704,450","8,380,648","8,584,665","8,626,523","8,252,640","8,396,060","8,128,400","8,264,380","9,172,604","7,915,847","7,832,612","8,354,419","7,869,270","8,634,873","8,665,166","8,590,369","8,581,092","8,608,510","8,402,723","8,265,323","9,238,742","8,285,876","8,013,623","8,418,616","8,356,184","8,892,092"
00001,0001,King County Department of Transportation - Metro Transit Division,Active,Full Reporter: Operating,14,"Seattle, WA",MB,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63,737","60,239","63,664","68,238","80,335","81,931","93,769","88,152","82,188","83,653","72,636","55,110","64,185","61,223","62,378","74,507","75,733","79,006","82,821","78,017","75,188","75,180","59,514","58,926","60,655","58,012","64,665","68,847","69,494","74,669","78,222","76,062","72,059","73,859","59,718","60,768","61,971","60,182","67,778","69,464","73,472","78,179","74,648","80,637","73,302","70,585","59,700","57,070","54,096","64,681","73,524","78,018","89,504","84,800","87,723","93,142","82,691","91,232","74,260","65,993","74,954","70,610","75,524","81,974","88,807","85,464","93,694","94,731","82,625","100,247","81,075","77,309","85,950","79,869","86,586","95,504","98,060","97,827","106,939","104,447","98,031","87,720","64,634","68,952","70,123","66,269","73,388","77,674","78,529","89,936","91,806","87,402","83,698","84,469","65,082","69,608","66,082","70,105","77,627"
00001,0001,King County Department of Transportation - Metro Transit Division,Active,Full Reporter: Operating,14,"Seattle, WA",SR,DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,257","53,828","59,118","59,778","64,337","66,623","73,888","72,004","64,966","66,392","60,077","57,620","63,220","57,580","61,571","61,648","62,850","66,520","79,079","74,806","61,316","63,656","52,657","56,030","55,111","54,429","56,426","57,633","59,732","60,883","73,593","66,926","60,070","58,892","50,266","53,753","50,344","47,246","54,686","55,332","50,942","56,904","66,039","59,671","48,938","47,616","41,517","42,987","15,626","16,296","33,331"
00001,0001,King County Department of Transportation - Metro Transit Division,Active,Full Reporter: Operating,14,"Seattle, WA",TB,DO,"2,044,815","1,839,037","2,043,508","2,043,300","2,075,470","1,924,999","2,012,875","2,028,889","1,894,886","1,995,521","1,848,565","1,906,797","1,851,117","1,831,346","2,033,379","2,033,183","2,033,379","1,992,766","2,071,599","2,039,614","1,993,547","1,956,229","1,762,776","1,912,730","1,913,523","1,816,514","2,091,905","2,011,064","1,931,511","1,989,988","1,964,963","2,008,038","1,929,159","1,955,085","1,739,007","1,925,621","1,778,219","1,624,288","1,903,928","1,789,752","1,806,441","1,795,766","1,770,960","1,902,160","1,827,191","1,842,100","1,851,648","1,833,820","1,797,511","1,628,460","1,845,452","1,777,787","2,005,864","1,954,749","1,921,507","1,991,200","1,866,766","1,986,652","1,861,599","1,787,755","1,916,610","1,784,328","1,958,344","1,977,398","2,026,684","1,941,063","1,986,667","2,032,755","1,852,809","2,116,230","1,917,700","1,759,396","2,035,145","1,922,336","1,975,227","2,119,283","2,073,111","2,030,885","2,143,088","2,015,482","2,012,947","2,205,546","1,927,371","1,699,291","1,614,693","1,551,526","1,689,145","1,657,506","1,605,242","1,712,246","1,646,115","1,551,352","1,579,566","1,829,108","1,565,371","1,717,358","1,588,543","1,616,236","1,939,843","1,851,999","1,767,889","1,785,544","1,703,615","1,757,467","1,763,768","1,784,542","1,529,709","1,631,940","1,584,910","1,562,673","1,783,810","1,674,582","1,730,389","1,825,763","1,742,568","1,790,085","1,801,397","1,759,029","1,707,064","1,619,705","1,481,612","1,651,455","1,670,664","1,630,579","1,768,398","1,614,917","1,513,765","1,583,514","1,370,072","1,767,107","1,573,153","1,345,365","1,604,404","1,447,369","1,566,917","1,630,773","1,712,355","1,483,026","1,641,147","1,594,713","1,542,464","1,823,746","1,511,494","1,449,622","1,637,843","1,484,674","1,580,303","1,667,687","1,732,383","1,580,423","1,760,508","1,621,728","1,637,970","1,810,498","1,442,113","1,508,253","1,630,871","1,528,026","1,635,368","1,672,096","1,562,088","1,581,741","1,636,518","1,460,830","1,480,742","1,619,512","1,421,822","1,424,933","1,517,593","1,507,166","1,726,480"
00001,0001,King County Department of Transportation - Metro Transit Division,Active,Full Reporter: Operating,14,"Seattle, WA",VP,DO,"174,040","150,307","166,129","156,143","156,143","141,948","141,871","141,871","128,973","159,060","138,313","145,229","160,581","131,694","156,722","155,767","146,333","152,371","154,859","141,316","150,181","163,345","141,471","155,513","140,428","122,427","171,767","145,631","138,996","134,937","140,044","143,872","146,253","146,253","117,538","126,543","142,930","135,611","152,566","152,714","143,269","151,167","148,769","156,478","140,764","163,138","159,939","143,271","153,962","142,001","166,320","139,103","188,112","169,192","146,448","203,756","161,836","192,708","157,591","138,577","173,670","157,445","195,325","199,114","208,075","191,032","211,901","207,116","203,667","199,334","191,989","172,879","210,084","214,936","215,792","211,565","238,341","234,536","242,679","263,608","234,753","238,788","232,667","231,196","267,832","251,982","289,851","281,049","248,293","295,243","269,432","256,536","258,767","275,158","239,896","238,639","258,629","238,897","262,765","247,286","215,535","233,410","233,329","245,340","226,343","221,087","234,396","232,567","239,955","217,750","273,619","250,625","275,361","255,837","256,346","266,823","262,680","276,268","273,397","274,081","257,615","297,424","309,623","295,353","296,346","272,955","264,872","316,056","262,347","310,426","310,574","248,997","301,097","266,878","272,883","312,344","295,920","295,314","287,815","333,743","306,298","304,941","279,364","267,217","302,932","267,390","304,690","281,592","269,318","308,563","307,246","265,145","293,799","298,234","253,949","261,924","267,859","271,029","302,397","292,560","263,362","313,984","324,989","292,516","299,406","357,210","283,647","292,913","292,644","262,082","314,619"
00002,0002,Spokane Transit Authority,Active,Full Reporter: Operating,96,"Spokane, WA",DR,DO,"23,023","21,065","22,692","22,991","23,343","19,853","21,214","21,814","19,896","24,175","20,537","20,883","24,302","23,172","24,420","24,999","23,688","22,063","24,351","22,971","23,345","26,423","20,421","22,079","22,526","22,805","26,749","25,084","22,671","23,297","22,810","22,813","23,396","23,588","23,582","23,947","23,201","22,423","26,620","23,854","24,935","23,365","19,644","22,411","21,859","22,189","21,678","21,402","22,438","21,547","25,965","21,699","25,329","21,718","19,927","22,295","20,412","25,536","23,399","20,732","24,470","22,523","25,184","22,743","24,767","22,050","21,008","22,742","19,794","25,311","23,505","20,733","21,932","23,221","24,087","26,133","25,312","22,653","23,208","22,340","23,801","26,874","20,550","16,579","20,713","22,526","25,221","25,272","23,961","23,552","23,344","21,565","22,523","23,970","21,485","23,068","23,204","22,004","24,387","23,544","22,102","21,119","20,036","20,270","21,171","21,942","20,062","18,799","19,199","18,492","24,520","21,849","24,561","21,428","18,925","21,217","21,031","22,055","21,923","20,129","20,954","21,944","24,168","22,606","23,607","19,878","19,741","22,012","18,958","23,344","21,806","18,873","23,762","21,582","22,140","23,238","23,758","19,423","19,475","18,433","18,278","22,184","19,354","19,617","23,332","20,662","22,699","22,790","22,675","19,970","20,175","17,809","19,271","22,015","17,298","19,245","20,082","19,041","22,144","21,195","19,223","20,032","19,578","17,399","19,294","20,613","16,195","17,712","18,824","18,864","20,745"
00002,0002,Spokane Transit Authority,Active,Full Reporter: Operating,96,"Spokane, WA",DR,PT,"15,019","14,099","15,025","13,232","11,732","10,869","10,877","11,709","11,663","13,203","12,146","13,449","14,453","13,813","14,636","14,544","15,321","13,543","11,982","11,917","12,809","14,881","14,343","13,812","14,681","14,405","14,558","14,648","15,256","13,598","13,554","13,350","13,949","16,542","15,000","14,160","15,267","13,880","15,549","15,524","15,157","14,786","15,733","16,506","16,879","18,340","17,032","14,973","17,504","17,615","18,518","17,148","18,041","18,048","17,649","18,453","18,335","19,755","18,498","18,009","18,261","17,726","19,420","20,543","29,946","18,279","18,252","18,779","19,711","20,970","19,461","18,642","17,942","17,488","20,852","20,400","20,327","20,032","21,400","20,755","20,551","22,484","20,988","14,551","19,440","20,271","20,180","20,707","20,990","19,227","20,224","20,256","20,407","22,484","20,293","19,899","20,651","20,952","22,455","22,184","22,305","21,462","20,699","21,603","20,525","20,454","20,915","22,347","21,319","19,908","20,568","19,414","19,526","18,324","18,924","14,583","17,683","18,618","18,601","18,436","18,498","19,308","18,081","18,641","21,147","19,674","19,914","19,213","19,263","22,079","18,354","18,043","18,225","17,766","18,786","18,594","18,842","18,471","20,036","20,365","19,994","22,496","19,977","18,191","17,547","17,759","19,055","18,673","18,944","18,583","18,688","18,867","18,775","21,808","19,610","18,921","18,912","18,034","18,930","19,496","19,053","18,648","19,602","19,528","19,723","21,837","18,243","18,949","21,300","21,232","21,348"
