"State","Contract ID","Agency ID","Slug Name","Agency/Facility Name","Contract Holder (if different than Facility Name)","Integration Type","Aliases","Agency Classification","Product(s) Purchased","NTDID","Name on NTD"
"NY","1001","A","columbia","Columbia University","Academy Express, LLC","TransLoc",NA,"University","RealTime",NA,NA
"MA","1002","A","bu","Boston University","Academy Express, LLC","TransLoc","BU","University","RealTime",NA,NA
"NY","1003","A","nyu","New York University","Academy Express, LLC","TransLoc","NYU","University","RealTime, OnDemand, Traveler",NA,NA
"NJ","1004","A","stevens","Stevens Institute of Technology","Academy Express, LLC","TransLoc",NA,"University","RealTime",NA,NA
"NY","1005","A","adelphi","Adelphi University",NA,"TransLoc",NA,"University","RealTime",NA,NA
"GA","1006","A","asfreeride","Atlantic Station Shuttles","Atlantic Station Master Owners' Association, Inc.","TransLoc","MOA","Commercial","RealTime",NA,NA
"AL","1007","A","auburn","Auburn University",NA,"TransLoc",NA,"University","RealTime, Traveler",NA,NA
"IN","1008","A","bsu","Ball State University",NA,"TransLoc",NA,"University","RealTime",NA,NA
"CA","1009","A","biola","Biola University",NA,"TransLoc",NA,"University","RealTime",NA,NA
"MA","1010","A","bc","Boston College","FTM Corporation","TransLoc","Boston Coach","University","RealTime",NA,NA
"OH","1011","A","bgsu","Bowling Green State University",NA,"TransLoc",NA,"University","RealTime",NA,NA
"MA","1012","A","brandeis","Brandeis University",NA,"TransLoc",NA,"University","RealTime",NA,NA
"MD","1013","A","jhu","Johns Hopkins University","Broadway Services, Inc.","TransLoc","JHU","University","RealTime",NA,NA
"MD","1014","A","jhmi","Johns Hopkins Bayview Medical Center","Broadway Services, Inc.","TransLoc","Bayview","Medical Campus","RealTime",NA,NA
"MD","1015","A","jhmi","Johns Hopkins Medical Institution","Broadway Services, Inc.","TransLoc","Johns Hopkins Medical Institute","Medical Campus","RealTime",NA,NA
"RI","1016","A","brownshuttle","Brown University",NA,"TransLoc",NA,"University","RealTime, Traveler",NA,NA
"PA","1017","A","bucknell","Bucknell University",NA,"TransLoc",NA,"University","RealTime",NA,NA
"CA","1018","A","capitolcorridor","Capitol Corridor Joint Powers Authority",NA,"Amtrak",NA,"Municipal","RealTime",NA,NA
"SC","1019","A","thecomet","Central Midlands Transit","Central Midlands Regional Transit Authority","TransLoc","The COMET","Municipal","RealTime",40141,"Central Midlands Regional Transit Authority"
"CA","1020","A","chapman","Chapman University",NA,"TransLoc",NA,"University","RealTime",NA,NA
"MA","1021","A","chb","Children's Hospital Boston",NA,"TransLoc","CHB","Medical Campus","RealTime",NA,NA
"CAN","1022","A","airdrietransit","City of Airdrie",NA,"TransLoc",NA,"Municipal","RealTime",NA,NA
